SINE2-3_OS	NC_089046.1	97.238	181	5	0	1	181	5877834	5878014	1.45e-82	307	181
SINE2-3_OS	NC_089046.1	90.395	177	11	2	1	175	27677953	27677781	1.16e-58	228	181
SINE2-3_OS	NC_089035.1	96.133	181	6	1	1	181	3413028	3413207	1.13e-78	294	181
SINE2-3_OS	NC_089040.1	94.079	152	8	1	1	152	30748350	30748500	3.23e-59	230	181
SINE2-3_OS	NC_089040.1	93.684	95	3	2	85	179	350606	350515	5.59e-32	139	181
SINE2-3_OS	NC_089042.1	86.957	161	15	2	21	176	27302884	27302725	4.26e-43	176	181
SINE2-3_OS	NC_089045.1	90.517	116	8	2	66	181	4827838	4827726	2.58e-35	150	181
SINE2-3_OS	NC_089045.1	91.304	92	6	1	82	173	221009	221098	1.57e-27	124	181
SINE2-3_OS	NC_089037.1	91.919	99	6	1	82	180	33279666	33279570	2.01e-31	137	181
SINE2-3_OS	NC_089036.1	90.385	104	6	4	70	173	17740066	17740165	2.60e-30	134	181
SINE8_OS	NC_089035.1	100.000	120	0	0	1	120	8157850	8157969	3.31e-57	222	120
SINE8_OS	NC_089038.1	88.235	102	11	1	10	110	21148526	21148425	1.24e-26	121	120
SINE6_OS	NC_089041.1	96.639	119	4	0	1	119	24118271	24118153	5.52e-50	198	119
SINE6_OS	NC_089040.1	89.831	118	11	1	3	119	2938849	2938732	1.57e-35	150	119
SINE6_OS	NC_089035.1	89.076	119	10	3	3	119	5009456	5009573	7.29e-34	145	119
SINE6_OS	NC_089035.1	87.395	119	13	2	3	119	26373372	26373490	4.39e-31	135	119
SINE6_OS	NC_089035.1	83.333	96	16	0	24	119	27454469	27454374	3.47e-17	89.8	119
SINE6_OS	NC_089036.1	89.899	99	9	1	12	110	34366261	34366358	2.64e-28	126	119
SINE6_OS	NC_089038.1	85.859	99	14	0	13	111	35581970	35581872	3.44e-22	106	119
SINE6_OS	NC_089038.1	84.884	86	13	0	25	110	27735800	27735885	1.25e-16	87.9	119
SINE6_OS	NC_089044.1	83.486	109	17	1	3	110	6703074	6702966	1.60e-20	100	119
SINE6_OS	NC_089046.1	81.301	123	17	2	3	119	3570478	3570600	7.45e-19	95.3	119
SINE6_OS	NC_089037.1	86.517	89	9	3	32	119	11635365	11635279	7.45e-19	95.3	119
SINE6_OS	NC_089037.1	88.000	75	8	1	23	96	36323844	36323770	1.25e-16	87.9	119
